,location,total_sqft,bath,price,bhk
2173,Electronic City Phase II,1003.0,2.0,40.6,2
2174,Electronic City Phase II,1031.0,2.0,56.35,2
2176,Electronic City Phase II,1395.0,2.0,62.78,3
2177,Electronic City Phase II,1160.0,2.0,33.5,2
2178,Electronic City Phase II,1065.0,2.0,30.75,2
2179,Electronic City Phase II,1219.0,2.0,61.25,2
2181,Electronic City Phase II,1000.0,2.0,28.88,2
2182,Electronic City Phase II,1790.0,3.0,100.0,3
2183,Electronic City Phase II,769.0,2.0,40.0,2
2185,Electronic City Phase II,900.0,2.0,32.5,2
2188,Electronic City Phase II,993.0,2.0,50.0,3
2189,Electronic City Phase II,1418.0,3.0,52.47,3
2190,Electronic City Phase II,1070.0,2.0,45.0,2
2193,Electronic City Phase II,1140.0,2.0,33.06,2
2194,Electronic City Phase II,1089.0,2.0,32.67,2
2195,Electronic City Phase II,1031.0,2.0,55.0,2
2196,Electronic City Phase II,1253.0,2.0,65.8,2
2198,Electronic City Phase II,1160.0,2.0,33.5,2
2199,Electronic City Phase II,975.0,2.0,45.0,3
2200,Electronic City Phase II,6000.0,4.0,260.0,4
2201,Electronic City Phase II,1116.0,2.0,37.0,2
2202,Electronic City Phase II,1125.0,2.0,29.25,2
2203,Electronic City Phase II,1000.0,2.0,28.88,2
2204,Electronic City Phase II,1000.0,2.0,28.88,2
2205,Electronic City Phase II,1000.0,2.0,28.88,2
2206,Electronic City Phase II,1165.0,2.0,30.29,2
2207,Electronic City Phase II,3550.0,2.0,167.5,4
2208,Electronic City Phase II,1031.0,2.0,53.0,2
2210,Electronic City Phase II,1065.0,2.0,30.88,2
2212,Electronic City Phase II,1549.0,3.0,80.0,3
2213,Electronic City Phase II,1065.0,2.0,56.13,2
2215,Electronic City Phase II,920.0,2.0,26.0,2
2216,Electronic City Phase II,1140.0,2.0,33.84,2
2217,Electronic City Phase II,1219.0,2.0,61.26,2
2218,Electronic City Phase II,1252.0,2.0,65.0,3
2219,Electronic City Phase II,1125.0,2.0,32.49,2
2221,Electronic City Phase II,1286.0,2.0,69.0,2
2223,Electronic City Phase II,1140.0,2.0,32.92,2
2224,Electronic City Phase II,1116.0,2.0,40.0,2
2225,Electronic City Phase II,1150.0,3.0,46.0,3
2226,Electronic City Phase II,1192.0,2.0,47.0,3
2228,Electronic City Phase II,1020.0,2.0,32.0,2
2229,Electronic City Phase II,1900.0,3.0,97.0,4
2230,Electronic City Phase II,1020.0,2.0,27.43,2
2231,Electronic City Phase II,1025.0,2.0,26.65,2
2232,Electronic City Phase II,1020.0,2.0,29.45,2
2233,Electronic City Phase II,1000.0,2.0,28.88,2
2235,Electronic City Phase II,1140.0,2.0,28.5,2
2236,Electronic City Phase II,1125.0,2.0,32.49,2
2237,Electronic City Phase II,1200.0,2.0,34.65,2
2238,Electronic City Phase II,1160.0,2.0,52.2,2
2239,Electronic City Phase II,1244.0,2.0,55.0,2
2240,Electronic City Phase II,1160.0,2.0,33.51,2
2243,Electronic City Phase II,972.0,2.0,40.0,2
2244,Electronic City Phase II,1160.0,2.0,33.51,2
2246,Electronic City Phase II,1090.0,2.0,31.48,2
2247,Electronic City Phase II,1140.0,2.0,32.92,2
2248,Electronic City Phase II,650.0,1.0,35.0,1
2249,Electronic City Phase II,1155.0,2.0,57.0,2
2250,Electronic City Phase II,1800.0,3.0,92.0,3
2251,Electronic City Phase II,1300.0,2.0,28.0,2
2252,Electronic City Phase II,1160.0,2.0,33.5,2
2253,Electronic City Phase II,1025.0,2.0,29.6,2
2254,Electronic City Phase II,829.0,2.0,22.8,2
2255,Electronic City Phase II,2187.5,4.0,105.0,4
2256,Electronic City Phase II,1252.0,2.0,67.0,2
2258,Electronic City Phase II,1125.0,2.0,32.63,2
2259,Electronic City Phase II,1140.0,2.0,34.0,2
2262,Electronic City Phase II,1252.0,2.0,65.0,3
2263,Electronic City Phase II,1135.0,2.0,46.0,2
2264,Electronic City Phase II,1305.0,3.0,65.0,3
2265,Electronic City Phase II,1165.0,2.0,33.64,2
2267,Electronic City Phase II,1336.0,2.0,50.35,3
2268,Electronic City Phase II,575.0,1.0,16.75,1
2269,Electronic City Phase II,925.0,2.0,49.82,3
2270,Electronic City Phase II,1065.0,2.0,30.76,2
2271,Electronic City Phase II,1065.0,2.0,30.75,2
2272,Electronic City Phase II,1140.0,2.0,33.06,2
2273,Electronic City Phase II,911.0,2.0,26.5,2
2274,Electronic City Phase II,1200.0,2.0,34.65,2
2275,Electronic City Phase II,1031.0,2.0,54.48,2
2279,Electronics City Phase 1,1475.0,3.0,78.29,3
2280,Electronics City Phase 1,1490.0,3.0,78.8,3
2281,Electronics City Phase 1,1113.27,2.0,53.0,2
2282,Electronics City Phase 1,1490.0,3.0,84.0,3
2289,Electronics City Phase 1,1015.0,2.0,56.0,2
2291,Electronics City Phase 1,1515.0,2.0,80.91,3
2292,Electronics City Phase 1,995.0,2.0,46.0,2
2293,Electronics City Phase 1,1555.0,2.0,82.0,3
2294,Electronics City Phase 1,1340.0,2.0,75.0,2
2295,Electronics City Phase 1,1124.0,2.0,55.0,3
2296,Electronics City Phase 1,1175.0,2.0,57.0,2
2297,Electronics City Phase 1,755.0,1.0,42.41,1
2298,Electronics City Phase 1,580.0,1.0,27.0,1
2299,Electronics City Phase 1,940.0,2.0,49.0,2
2300,Electronics City Phase 1,1335.0,2.0,67.0,2
2301,Electronics City Phase 1,1113.12,2.0,55.0,2
2303,Electronics City Phase 1,1350.0,3.0,71.0,3
2305,Electronics City Phase 1,995.0,2.0,49.8,2
2306,Electronics City Phase 1,635.0,1.0,26.0,1
2307,Electronics City Phase 1,1190.0,2.0,68.0,2
2309,Electronics City Phase 1,1450.0,3.0,72.54,3
2310,Electronics City Phase 1,360.0,1.0,16.9,1
2311,Electronics City Phase 1,638.0,1.0,32.0,1
2312,Electronics City Phase 1,1175.0,2.0,64.98,2
2313,Electronics City Phase 1,585.0,1.0,21.0,1
2314,Electronics City Phase 1,1200.0,2.0,59.76,2
2315,Electronics City Phase 1,1145.0,2.0,54.0,2
2316,Electronics City Phase 1,1125.0,2.0,65.0,2
2318,Electronics City Phase 1,1550.0,2.0,82.0,3
2320,Electronics City Phase 1,865.0,2.0,40.0,2
2324,Electronics City Phase 1,1800.0,3.0,93.0,3
2325,Electronics City Phase 1,1314.0,2.0,60.0,2
2326,Electronics City Phase 1,1170.0,2.0,62.0,2
2327,Electronics City Phase 1,1450.0,3.0,79.0,3
2328,Electronics City Phase 1,940.0,2.0,48.0,2
2329,Electronics City Phase 1,940.0,2.0,44.0,2
2330,Electronics City Phase 1,1300.0,2.0,67.0,2
2331,Electronics City Phase 1,1028.0,2.0,51.0,2
2333,Electronics City Phase 1,1205.0,2.0,60.0,2
2335,Electronics City Phase 1,1305.0,2.0,67.0,2
2336,Electronics City Phase 1,755.0,1.0,30.12,1
2337,Electronics City Phase 1,1175.0,2.0,60.0,2
2338,Frazer Town,1700.0,3.0,180.0,3
2339,Frazer Town,1305.0,3.0,95.45,3
2340,Frazer Town,1870.0,3.0,185.0,3
2341,Frazer Town,1750.0,3.0,150.0,3
2343,Frazer Town,2000.0,3.0,200.0,3
2344,Frazer Town,3500.0,4.0,330.0,3
2345,Frazer Town,2350.0,4.0,285.0,3
2346,Frazer Town,1550.0,2.0,140.0,2
2347,Frazer Town,1900.0,4.0,145.0,3
2348,Frazer Town,2560.0,3.0,265.0,3
2349,Frazer Town,2400.0,3.0,260.0,3
2350,Frazer Town,2560.0,3.0,288.0,3
2351,Frazer Town,3436.0,5.0,341.0,4
2353,Frazer Town,1315.0,2.0,140.0,2
2354,Frazer Town,1706.0,3.0,154.0,3
2355,Frazer Town,2079.0,3.0,220.0,3
2356,Frazer Town,3435.0,2.0,341.0,4
2357,Frazer Town,3436.0,5.0,345.0,4
2358,Frazer Town,3100.0,3.0,400.0,3
2359,Frazer Town,5400.0,3.0,400.0,3
2360,Frazer Town,1180.0,2.0,105.0,2
2361,Frazer Town,2900.0,4.0,325.0,4
2362,Frazer Town,1870.0,3.0,180.0,3
2363,Frazer Town,896.0,1.0,100.0,1
2364,Frazer Town,1420.0,2.0,120.0,2
2365,GM Palaya,1820.0,2.0,86.0,3
2366,GM Palaya,1225.0,2.0,47.0,2
2367,GM Palaya,1140.0,2.0,48.95,2
2368,GM Palaya,1315.0,2.0,65.0,3
2369,GM Palaya,1315.0,3.0,65.0,3
2370,GM Palaya,1315.0,3.0,64.0,3
2371,GM Palaya,1735.0,3.0,70.0,3
2372,GM Palaya,1643.0,2.0,70.0,3
2373,Garudachar Palya,1325.0,2.0,60.8,3
2374,Garudachar Palya,1060.0,2.0,48.7,2
2375,Garudachar Palya,1150.0,2.0,52.75,2
2376,Garudachar Palya,1295.0,2.0,59.5,3
2377,Garudachar Palya,1320.0,2.0,60.6,3
2378,Garudachar Palya,1295.0,2.0,59.5,3
2379,Garudachar Palya,1150.0,2.0,52.8,2
2380,Garudachar Palya,1150.0,2.0,52.8,2
2381,Garudachar Palya,1060.0,2.0,48.5,2
2382,Garudachar Palya,1150.0,2.0,52.5,2
2383,Garudachar Palya,1325.0,2.0,60.8,3
2384,Garudachar Palya,1060.0,2.0,48.66,2
2385,Garudachar Palya,1150.0,2.0,52.0,2
2386,Garudachar Palya,1154.0,2.0,51.8,2
2388,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2389,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2390,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2391,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2392,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2393,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2394,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2395,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2396,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2397,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2398,Gottigere,1100.0,2.0,40.0,2
2399,Gottigere,967.0,2.0,45.0,2
2400,Gottigere,1618.0,3.0,82.5,3
2401,Gottigere,1222.0,2.0,63.0,2
2403,Gottigere,1300.0,3.0,65.0,3
2404,Gottigere,950.0,2.0,38.0,2
2405,Gottigere,1153.0,2.0,48.5,2
2406,Gottigere,812.0,1.0,26.0,1
2408,Gottigere,1460.0,2.0,65.0,3
2409,Gottigere,1500.0,3.0,70.0,3
2410,Gottigere,1621.0,3.0,72.0,3
2411,Gottigere,812.0,1.0,26.0,1
2412,Gottigere,990.0,2.0,40.0,2
2413,Gottigere,1235.0,2.0,63.0,2
2414,Gottigere,1385.0,3.0,64.0,3
2415,Gottigere,1000.0,2.0,35.0,2
2416,Gottigere,1010.0,2.0,35.0,2
2419,Gottigere,1435.0,2.0,62.0,3
2420,Gottigere,945.0,2.0,45.0,2
2422,Gottigere,2500.0,3.0,120.0,4
2423,Gottigere,1230.0,2.0,52.0,3
2424,Gottigere,1120.0,2.0,50.0,2
2425,Gottigere,1500.0,3.0,63.0,3
2426,Gottigere,1200.0,2.0,40.0,2
2427,Gottigere,1280.0,2.0,61.0,2
2428,Gottigere,1205.0,2.0,56.58,2
2429,Gottigere,1170.0,2.0,40.0,2
2430,Gottigere,3000.0,3.0,132.0,4
2431,Gottigere,1613.0,3.0,72.0,3
2432,Gottigere,1110.0,2.0,36.25,2
2433,Gottigere,1245.0,2.0,59.0,2
2434,Gottigere,1200.0,2.0,50.0,2
2435,Green Glen Layout,1670.0,3.0,120.0,3
2436,Green Glen Layout,3250.0,4.0,230.0,4
2437,Green Glen Layout,1776.42,3.0,105.0,3
2438,Green Glen Layout,3250.0,4.0,230.0,4
2439,Green Glen Layout,940.0,2.0,56.8,2
2440,Green Glen Layout,1075.0,2.0,60.0,2
2441,Green Glen Layout,1715.0,3.0,115.0,3
2442,Green Glen Layout,1751.0,2.0,115.0,3
2443,Green Glen Layout,1750.0,3.0,130.0,3
2444,Green Glen Layout,1530.0,3.0,105.0,3
2445,Green Glen Layout,1752.0,3.0,105.0,3
2446,Green Glen Layout,1680.0,4.0,95.0,3
2447,Green Glen Layout,1728.0,3.0,125.0,3
2448,Green Glen Layout,1645.0,3.0,110.0,3
2449,Green Glen Layout,1517.0,3.0,100.0,3
2450,Green Glen Layout,3150.0,4.0,218.0,4
2452,Green Glen Layout,1750.0,3.0,120.0,3
2453,Green Glen Layout,1751.0,3.0,115.0,3
2454,Green Glen Layout,1750.0,3.0,105.0,3
2455,Green Glen Layout,1885.0,3.0,135.0,3
2456,Green Glen Layout,1715.0,3.0,120.0,3
2457,Green Glen Layout,1623.29,2.0,105.0,3
2458,Green Glen Layout,1715.0,3.0,115.0,3
2459,Green Glen Layout,1715.0,3.0,105.0,3
2460,Green Glen Layout,1600.0,3.0,105.0,3
2461,Green Glen Layout,1717.0,3.0,125.0,3
2462,Green Glen Layout,1250.0,2.0,75.0,2
2463,Green Glen Layout,1715.0,3.0,112.0,3
2464,Gubbalala,1470.0,2.0,82.0,3
2465,Gubbalala,1745.0,3.0,104.0,3
2466,Gubbalala,1745.0,3.0,115.0,3
2467,Gubbalala,1745.0,3.0,110.0,3
2468,Gubbalala,1650.0,3.0,71.0,3
2469,Gubbalala,2570.0,4.0,141.0,5
2470,Gubbalala,1205.0,2.0,70.0,2
2471,Gubbalala,1435.0,2.0,80.0,3
2472,Gubbalala,1475.0,2.0,80.0,2
2474,Gubbalala,1100.0,2.0,49.5,2
2475,Gubbalala,1060.0,2.0,46.0,2
2476,Gubbalala,2000.0,3.0,125.0,3
2478,Gunjur,1140.0,2.0,43.0,2
2479,Gunjur,1356.0,2.0,66.0,3
2480,Gunjur,1600.0,3.0,75.0,3
2481,Gunjur,2000.0,3.0,95.0,4
2482,Gunjur,1140.0,2.0,49.11,2
2483,Gunjur,1195.0,2.0,44.0,2
2484,Gunjur,1190.0,2.0,40.0,2
2485,Gunjur,1457.0,2.0,60.0,2
2486,Gunjur,1080.0,2.0,41.0,2
2489,Gunjur,1175.0,2.0,43.48,2
2490,Gunjur,1362.0,3.0,62.63,3
2491,Gunjur,1071.0,2.0,51.0,2
2492,Gunjur,1063.0,2.0,40.0,2
2493,Gunjur,1235.0,2.0,52.76,2
2494,Gunjur,1362.0,3.0,62.63,3
2495,Gunjur,1362.0,3.0,62.63,3
2496,Gunjur,1588.0,2.0,90.0,3
2497,Gunjur,1235.0,2.0,44.5,2
2498,Gunjur,1457.0,2.0,60.0,2
2499,HBR Layout,2800.0,2.0,200.0,3
2500,HBR Layout,1722.0,3.0,95.0,3
2501,HBR Layout,1200.0,4.0,120.0,4
2502,HBR Layout,1200.0,2.0,60.0,2
2503,HBR Layout,1004.0,2.0,49.0,2
2504,HBR Layout,1783.0,3.0,125.0,3
2505,HBR Layout,1656.0,3.0,90.0,3
2506,HBR Layout,1089.0,2.0,60.0,2
2507,HBR Layout,1700.0,3.0,110.0,3
2508,HBR Layout,1198.0,2.0,65.0,2
2509,HBR Layout,1200.0,4.0,115.0,4
2510,HBR Layout,1200.0,2.0,120.0,2
2511,HBR Layout,1832.0,3.0,160.0,3
2512,HRBR Layout,1374.0,2.0,95.0,2
2513,HRBR Layout,1440.0,2.0,98.0,2
2515,HRBR Layout,2800.0,3.0,250.0,3
2516,HRBR Layout,1210.0,2.0,75.0,2
2517,HRBR Layout,1265.0,2.0,78.0,2
2518,HRBR Layout,1170.0,2.0,75.0,2
2520,HRBR Layout,1900.0,3.0,90.0,4
2521,HRBR Layout,1625.0,3.0,120.0,3
2522,HRBR Layout,1301.0,2.0,120.0,2
2523,HRBR Layout,1145.0,2.0,68.5,2
2524,HRBR Layout,1300.0,2.0,90.0,2
2526,HSR Layout,1372.0,2.0,68.0,2
2528,HSR Layout,1475.0,3.0,75.0,3
2529,HSR Layout,1467.0,2.0,55.0,2
2530,HSR Layout,1140.0,2.0,46.0,2
2531,HSR Layout,1372.0,2.0,61.0,2
2532,HSR Layout,1750.0,3.0,95.0,3
2534,HSR Layout,1027.0,2.0,44.0,2
2535,HSR Layout,1650.0,3.0,110.0,3
2536,HSR Layout,1140.0,2.0,46.0,2
2537,HSR Layout,1372.0,2.0,61.0,2
2538,HSR Layout,1140.0,2.0,46.0,2
2539,HSR Layout,1185.0,2.0,60.0,2
2540,HSR Layout,1127.0,2.0,68.0,2
2541,HSR Layout,1600.0,2.0,115.0,3
2542,HSR Layout,1145.0,2.0,48.0,2
2543,HSR Layout,1009.0,2.0,56.0,2
2544,HSR Layout,1300.0,2.0,98.0,2
2546,HSR Layout,1140.0,2.0,46.0,2
2547,HSR Layout,1126.0,2.0,69.0,2
2549,HSR Layout,1140.0,2.0,46.0,2
2550,HSR Layout,1145.0,2.0,46.0,2
2551,HSR Layout,1142.0,2.0,65.0,2
2552,HSR Layout,1145.0,2.0,46.0,2
2553,HSR Layout,1844.0,3.0,95.0,3
2554,HSR Layout,1203.0,2.0,72.0,2
2555,HSR Layout,1140.0,2.0,46.0,2
2556,HSR Layout,4200.0,5.0,245.0,5
2557,HSR Layout,1140.0,2.0,46.0,2
2558,HSR Layout,1145.0,2.0,46.0,2
2559,HSR Layout,1009.0,2.0,56.0,2
2560,HSR Layout,1145.0,2.0,46.0,2
2561,HSR Layout,1100.0,2.0,44.0,2
2562,HSR Layout,1203.0,2.0,60.0,2
2563,HSR Layout,1120.0,2.0,70.0,2
2564,HSR Layout,1140.0,2.0,46.0,2
2565,HSR Layout,1289.0,2.0,70.0,2
2566,HSR Layout,1844.0,3.0,89.0,3
2567,HSR Layout,1203.0,2.0,60.0,2
2568,HSR Layout,1140.0,2.0,46.0,2
2569,Haralur Road,1240.0,2.0,70.0,2
2570,Haralur Road,1027.0,2.0,44.0,2
2573,Haralur Road,1194.0,2.0,47.0,2
2574,Haralur Road,1202.0,2.0,53.0,2
2575,Haralur Road,1056.0,2.0,61.0,2
2577,Haralur Road,1810.0,3.0,100.0,3
2578,Haralur Road,1194.0,2.0,46.0,2
2580,Haralur Road,1225.0,2.0,67.38,2
2581,Haralur Road,1243.0,2.0,46.0,2
2582,Haralur Road,1027.0,2.0,44.0,2
2583,Haralur Road,1920.0,3.0,115.0,3
2584,Haralur Road,1875.0,3.0,110.0,3
2585,Haralur Road,1194.0,2.0,47.0,2
2586,Haralur Road,1140.0,2.0,43.0,2
2587,Haralur Road,1027.0,2.0,44.0,2
2588,Haralur Road,1194.0,2.0,46.0,2
2589,Haralur Road,2017.0,3.0,125.0,3
2590,Haralur Road,1140.0,2.0,43.0,2
2591,Haralur Road,1875.0,3.0,110.0,3
2592,Haralur Road,1092.0,2.0,44.0,2
2593,Haralur Road,2475.0,4.0,130.0,3
2594,Haralur Road,1300.0,2.0,73.0,2
2595,Haralur Road,1194.0,2.0,47.0,2
2596,Haralur Road,1243.0,2.0,46.0,2
2597,Haralur Road,1850.0,3.0,110.0,3
2598,Haralur Road,1225.0,2.0,67.38,2
2599,Haralur Road,1243.0,2.0,46.0,2
2600,Haralur Road,3400.0,5.0,240.0,4
2601,Haralur Road,1464.0,2.0,56.0,2
2602,Haralur Road,1230.0,2.0,78.0,2
2603,Haralur Road,1000.0,2.0,44.0,2
2605,Haralur Road,1300.0,2.0,79.0,2
2606,Haralur Road,1444.0,2.0,80.0,3
2607,Haralur Road,1088.0,2.0,68.0,2
2608,Haralur Road,1027.0,2.0,44.0,2
2610,Haralur Road,1225.0,2.0,70.0,2
2612,Haralur Road,1194.0,2.0,46.0,2
2613,Haralur Road,1830.0,3.0,101.0,3
2614,Haralur Road,1810.0,3.0,126.0,3
2615,Haralur Road,1464.0,2.0,56.0,2
2616,Haralur Road,1520.0,2.0,96.0,3
2617,Haralur Road,1300.0,2.0,75.0,2
2618,Haralur Road,2017.0,2.0,125.0,3
2619,Haralur Road,1243.0,2.0,46.0,2
2620,Haralur Road,1027.0,2.0,44.0,2
2621,Haralur Road,2805.0,5.0,160.0,4
2622,Haralur Road,1243.0,2.0,46.0,2
2623,Haralur Road,1027.0,2.0,44.0,2
2624,Haralur Road,2017.0,3.0,105.0,3
2625,Haralur Road,1243.0,2.0,46.0,2
2626,Haralur Road,1243.0,2.0,46.0,2
2627,Haralur Road,1520.0,2.0,90.0,3
2628,Haralur Road,1300.0,2.0,60.0,2
2629,Haralur Road,1985.0,3.0,130.0,3
2630,Haralur Road,1255.0,2.0,90.0,3
2631,Haralur Road,1056.0,2.0,60.0,2
2632,Haralur Road,1140.0,2.0,42.0,2
2633,Haralur Road,1245.0,2.0,62.0,2
2634,Haralur Road,1140.0,2.0,58.0,2
2635,Haralur Road,1140.0,2.0,42.0,2
2636,Haralur Road,1027.0,2.0,43.0,2
2637,Haralur Road,1194.0,2.0,47.0,2
2638,Haralur Road,1194.0,2.0,47.0,2
2639,Haralur Road,1560.0,3.0,90.0,3
2640,Haralur Road,1520.0,2.0,85.0,3
2641,Haralur Road,1243.0,2.0,45.0,2
2642,Haralur Road,1027.0,2.0,44.0,2
2643,Haralur Road,1194.0,2.0,46.0,2
2644,Haralur Road,1650.0,3.0,100.0,3
2645,Haralur Road,1580.0,3.0,73.0,3
2646,Haralur Road,1243.0,2.0,46.0,2
2647,Haralur Road,1194.0,2.0,47.0,2
2649,Haralur Road,1520.0,2.0,96.0,3
2650,Haralur Road,1510.0,3.0,83.05,3
2651,Haralur Road,1056.0,2.0,65.0,2
2652,Haralur Road,1810.0,3.0,100.0,3
2653,Haralur Road,1243.0,2.0,46.0,2
2654,Haralur Road,575.0,1.0,38.0,1
2655,Haralur Road,1194.0,2.0,46.0,2
2656,Haralur Road,1243.0,2.0,46.0,2
2657,Haralur Road,1194.0,2.0,46.0,2
2658,Haralur Road,1140.0,2.0,43.0,2
2659,Haralur Road,1850.0,3.0,120.0,3
2660,Haralur Road,1194.0,2.0,47.0,2
2661,Haralur Road,1194.0,2.0,47.0,2
2663,Haralur Road,1243.0,2.0,46.0,2
2664,Haralur Road,1710.0,3.0,85.0,3
2665,Haralur Road,1730.0,3.0,95.0,3
2666,Haralur Road,1243.0,2.0,46.0,2
2667,Haralur Road,1243.0,2.0,46.0,2
2668,Haralur Road,1243.0,2.0,46.0,2
2669,Haralur Road,1817.0,3.0,110.0,3
2670,Haralur Road,1225.0,2.0,77.0,2
2671,Haralur Road,1285.0,2.0,78.0,2
2672,Haralur Road,1225.0,2.0,67.48,2
2673,Haralur Road,1225.0,2.0,69.84,2
2674,Haralur Road,1200.0,2.0,46.0,2
2675,Haralur Road,1315.0,2.0,85.0,2
2676,Haralur Road,1976.0,3.0,92.0,3
2677,Haralur Road,1300.0,2.0,75.0,2
2678,Haralur Road,1309.0,2.0,82.0,2
2679,Haralur Road,1027.0,1.0,44.0,2
2680,Haralur Road,1243.0,2.0,46.0,2
2681,Haralur Road,1243.0,2.0,46.0,2
2682,Haralur Road,1140.0,2.0,43.0,2
2683,Haralur Road,1300.0,2.0,75.0,2
2684,Haralur Road,1243.0,2.0,46.0,2
2685,Haralur Road,1890.0,3.0,84.0,3
2686,Haralur Road,1230.0,2.0,67.65,2
2687,Haralur Road,1194.0,2.0,46.0,2
2688,Haralur Road,1092.0,2.0,44.0,2
2690,Haralur Road,1255.0,3.0,90.0,3
2691,Haralur Road,1735.0,3.0,97.0,3
2692,Haralur Road,1810.0,3.0,97.83,3
2693,Haralur Road,1200.0,2.0,46.0,2
2694,Haralur Road,1243.0,2.0,46.0,2
2695,Haralur Road,1810.0,3.0,112.0,3
2696,Harlur,1508.0,2.0,77.0,2
2697,Harlur,1752.12,3.0,135.0,3
2700,Harlur,1709.0,3.0,150.0,3
2701,Harlur,1174.0,2.0,69.0,2
2702,Harlur,1033.0,2.0,49.0,2
2703,Harlur,1197.0,2.0,84.0,2
2704,Harlur,1757.0,3.0,132.0,3
2705,Harlur,1174.0,2.0,76.0,2
2706,Harlur,1754.0,3.0,125.0,3
2707,Harlur,1290.0,2.0,85.0,2
2708,Harlur,1752.12,3.0,116.0,3
2709,Harlur,1754.0,3.0,135.0,3
2710,Harlur,1754.0,3.0,124.0,3
2711,Harlur,1152.0,2.0,69.0,2
2712,Harlur,1290.0,2.0,87.0,2
2713,Harlur,1749.0,3.0,115.0,3
2714,Harlur,3385.0,4.0,260.0,4
2715,Harlur,2240.0,5.0,155.0,3
2716,Harlur,1758.0,3.0,133.0,3
2718,Harlur,1197.0,2.0,79.0,2
2719,Harlur,1174.0,2.0,78.0,2
2722,Harlur,1200.0,2.0,52.0,2
2723,Harlur,1197.0,2.0,79.0,2
2724,Harlur,1749.0,3.0,112.0,3
2725,Harlur,1174.0,2.0,75.0,2
2726,Harlur,1750.0,3.0,136.0,3
2727,Harlur,1620.0,3.0,110.0,3
2730,Harlur,1762.0,3.0,133.0,3
2731,Harlur,1756.0,3.0,131.0,3
2732,Harlur,1755.0,3.0,130.0,3
2733,Harlur,1864.0,3.0,140.0,3
2734,Harlur,1331.0,2.0,88.0,2
2735,Harlur,1752.12,3.0,133.0,3
2736,Harlur,1133.0,2.0,55.0,2
2737,Harlur,1756.0,3.0,128.0,3
2738,Harlur,1749.0,3.0,120.0,3
2739,Harlur,1197.0,2.0,82.0,2
2740,Harlur,1303.0,2.0,90.0,2
2741,Harlur,1754.0,3.0,132.0,3
2742,Harlur,1174.0,2.0,75.0,2
2743,Harlur,1756.0,3.0,134.0,3
2744,Harlur,1197.0,2.0,78.0,2
2745,Harlur,1290.0,2.0,89.9,2
2746,Harlur,1386.0,2.0,85.0,2
2747,Harlur,1174.0,2.0,74.0,2
2748,Harlur,1174.0,2.0,78.0,2
2750,Harlur,1755.0,3.0,115.0,3
2752,Harlur,2569.0,4.0,175.0,4
2754,Harlur,1197.0,2.0,77.0,2
2755,Harlur,1752.12,3.0,125.0,3
2756,Harlur,2569.0,5.0,180.0,4
2757,Harlur,1225.0,2.0,56.0,2
2758,Harlur,1197.0,2.0,76.0,2
2760,Harlur,1197.0,2.0,75.0,2
2761,Harlur,1755.0,3.0,117.0,3
2762,Harlur,1197.0,2.0,79.9,2
2763,Harlur,936.0,2.0,45.0,2
2764,Harlur,2990.0,4.0,225.0,4
2765,Harlur,1370.0,2.0,88.0,2
2766,Harlur,1335.0,2.0,72.76,2
2767,Hebbal,1760.0,2.0,123.0,3
2768,Hebbal,5611.5,4.0,477.0,4
2770,Hebbal,1349.0,2.0,98.2,2
2771,Hebbal,2483.0,5.0,212.0,4
2772,Hebbal,1760.0,2.0,130.0,3
2773,Hebbal,3450.0,5.0,260.0,3
2774,Hebbal,1920.0,3.0,134.0,3
2775,Hebbal,1337.0,2.0,82.0,2
2776,Hebbal,1349.0,2.0,98.0,2
2779,Hebbal,1790.0,3.0,127.0,3
2780,Hebbal,687.325,2.0,42.72,2
2782,Hebbal,1985.0,4.0,189.0,3
2783,Hebbal,2483.0,5.0,215.0,4
2784,Hebbal,1080.0,2.0,54.0,2
2785,Hebbal,812.0,2.0,55.0,2
2787,Hebbal,3067.0,4.0,230.0,4
2788,Hebbal,2526.0,2.0,250.0,3
2789,Hebbal,3067.0,4.0,230.0,4
2791,Hebbal,823.0,2.0,50.63,2
2792,Hebbal,1420.0,2.0,123.0,2
2794,Hebbal,1420.0,2.0,99.39,2
2795,Hebbal,4235.0,4.0,365.0,4
2796,Hebbal,1700.0,3.0,124.0,3
2797,Hebbal,3960.0,5.0,386.0,4
2798,Hebbal,1420.0,2.0,99.39,2
2800,Hebbal,1440.0,2.0,115.0,2
2801,Hebbal,1100.0,2.0,54.0,2
2803,Hebbal,2400.0,4.0,180.0,3
2805,Hebbal,1420.0,2.0,107.0,2
2806,Hebbal,1320.0,2.0,92.0,2
2807,Hebbal,919.0,2.0,49.0,2
2808,Hebbal,1645.0,3.0,135.0,3
2809,Hebbal,2080.0,3.0,175.0,3
2811,Hebbal,2483.0,5.0,230.0,4
2812,Hebbal,2600.0,3.0,195.0,3
